web-scraper-order,web-scraper-start-url,link,link-href
"1717581722-54","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=26","Proteste der Landwirte: Bauern besetzen wichtige Anschlussstellen an Autobahnen","https://www.zeit.de/politik/deutschland/2024-01/protest-landwirte-autobahn-verkehr-einschraenkung-passau"
"1717581722-55","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=26","Proteste der Bauern • Das Wichtigste aus Z+: In Form und Inhalt völlig überzogen","https://www.zeit.de/politik/deutschland/2024-01/proteste-bauern-blockade-verkehr-kuerzungen"
"1717581722-56","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=26","Bauernproteste: Wo und wann die Bauern protestieren wollen","https://www.zeit.de/gesellschaft/zeitgeschehen/2024-01/bauernproteste-landwirte-demonstration-blockaden"
"1717581722-57","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=26","Bauernproteste: Renate Künast fordert ""grundlegende Veränderungen"" der Agrarpolitik","https://www.zeit.de/politik/deutschland/2024-01/bauernproteste-renate-kuenast-subventionen-agrarpolitik"
"1717581722-58","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=26","Nachrichtenpodcast: Frankreich sucht eine neue Regierung","https://www.zeit.de/politik/2024-01/proteste-landwirte-bauern-rechtsextreme-radikalisierung-nachrichtenpodcast"
"1717581722-59","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=26","Sozialpolitik: FDP fordert höhere Zuverdienstgrenzen für Bürgergeldempfänger","https://www.zeit.de/politik/deutschland/2024-01/sozialpolitik-fdp-christian-duerr-buergergeld-zuverdienstgrenzen"
"1717581722-60","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=26","Hubert Aiwanger bei Bauernprotesten: Der Bauernfreund","https://www.zeit.de/politik/deutschland/2024-01/hubert-aiwanger-bauernproteste-freie-waehler-ampel"
"1717581725-61","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=25","Bauernproteste in Dresden: Es geht um mehr als um Agrardiesel","https://www.zeit.de/politik/deutschland/2024-01/michael-kretschmer-bauernproteste-dresden-ampelkoalition"
"1717581725-62","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=25","Heidelberger Erklärung: CDU will Ampel-Reformen zurücknehmen","https://www.zeit.de/politik/deutschland/2024-01/cdu-landtagswahlen-europawahl-buergergeld-heizungsgesetz-migration"
"1717581725-63","https://www.zeit.de/suche/index?q=bauernprotest+%7Cagrardiesel&type=article&type=gallery&type=video&type=author&type=manualtopic&p=25","Bauernprotest: Staatsanwaltschaft sieht Straftatbestand bei Protest gegen Habeck","https://www.zeit.de/gesellschaft/zeitgeschehen/2024-01/bauernprotest-robert-habeck-faehre-straftaten-staatsanwaltschaft"
